Voivodeship,Powiat,Name,type,Pop,total,
wolyn,Krzemieniec,Kuniow,with villages,86,,
wolyn,Krzemieniec,Ozlochowce,with villages,317,,
wolyn,Krzemieniec,Zaloszcze,with villages,644,,
,,,,,,
,,,,,,
Podole,Kamieniec and Czerwonogrod,Balin,Kahal with villages,211,20390,
Podole,Kamieniec and Czerwonogrod,Bilcze,with villages,69,,
Podole,Kamieniec and Czerwonogrod,Borszczow,with villages,301,,
Podole,Kamieniec and Czerwonogrod,Accessit to the same village Zwierz-chajkowce,,16,,
Podole,Kamieniec and Czerwonogrod,Czercze Kahal,with villages,270,,
Podole,Kamieniec and Czerwonogrod,Czarnokozince with Uscieand p,,308,,
Podole,Kamieniec and Czerwonogrod,Czerwonogrod Kahal,with villages,214,,
Podole,Kamieniec and Czerwonogrod,Dunajowce,with villages,1598,,
Podole,Kamieniec and Czerwonogrod,Dzwinogrod Starosty,with villages,62,,
Podole,Kamieniec and Czerwonogrod,Franpol Kahal,with villages,157,,
Podole,Kamieniec and Czerwonogrod,Fulsztyn Sortis Chorazy Czerwonogrodzki,with villages,211,,
